ngay,ma_ngoai_te,ten_ngoai_te,mua_tien_mat,mua_chuyen_khoan,ban
2/7/2020,SGD,SINGAPORE DOLLAR,16493.93,16660.54,16876.2
2/7/2020,THB,THAILAND BAHT,656.23,729.14,762.61
2/7/2020,CAD,CANADIAN DOLLAR,17129.67,17302.7,17667.46
2/7/2020,CHF,SWISS FRANC,23360.56,23596.53,24093.96
2/7/2020,HKD,HONGKONG DOLLAR,2940.58,2970.28,3014.75
2/7/2020,CNY,YUAN RENMINBI,3260.21,3293.14,3362.57
2/7/2020,DKK,DANISH KRONE,-,3352.65,3478.55
2/7/2020,INR,INDIAN RUPEE,-,325.37,338.13
2/7/2020,KRW,KOREAN WON,17.87,18.81,20.61
2/7/2020,KWD,KUWAITI DINAR,-,76229.12,79220.07
2/7/2020,MYR,MALAYSIAN RINGGIT,-,5566.61,5683.96
2/7/2020,NOK,NORWEGIAN KRONER,-,2467.5,2570.43
2/7/2020,RUB,RUSSIAN RUBLE,-,366.14,407.99
2/7/2020,SAR,SAUDI RIAL,-,6177.33,6419.71
2/7/2020,SEK,SWEDISH KRONA,-,2368.92,2457.88
2/8/2020,USD,US DOLLAR,23140,23170,23310
2/8/2020,EUR,EURO,24990.47,25242.9,26132.32
2/8/2020,GBP,POUND STERLING,29588.34,29887.21,30213.58
2/8/2020,JPY,YEN,204.25,206.31,213.58
2/8/2020,AUD,AUSTRALIAN DOLLAR,15286.5,15440.91,15766.41
2/8/2020,SGD,SINGAPORE DOLLAR,16493.93,16660.54,16876.2
2/8/2020,THB,THAILAND BAHT,656.23,729.14,762.61
2/8/2020,CAD,CANADIAN DOLLAR,17129.67,17302.7,17667.46
2/8/2020,CHF,SWISS FRANC,23360.56,23596.53,24093.96
2/8/2020,HKD,HONGKONG DOLLAR,2940.58,2970.28,3014.75
2/8/2020,CNY,YUAN RENMINBI,3260.21,3293.14,3362.57
2/8/2020,DKK,DANISH KRONE,-,3352.65,3478.55
2/8/2020,INR,INDIAN RUPEE,-,325.37,338.13
2/8/2020,KRW,KOREAN WON,17.87,18.81,20.61
2/8/2020,KWD,KUWAITI DINAR,-,76229.12,79220.07
2/8/2020,MYR,MALAYSIAN RINGGIT,-,5566.61,5683.96
2/8/2020,NOK,NORWEGIAN KRONER,-,2467.5,2570.43
2/8/2020,RUB,RUSSIAN RUBLE,-,366.14,407.99
2/8/2020,SAR,SAUDI RIAL,-,6177.33,6419.71
2/8/2020,SEK,SWEDISH KRONA,-,2368.92,2457.88
2/9/2020,USD,US DOLLAR,23140,23170,23310
2/9/2020,EUR,EURO,24990.47,25242.9,26132.32
2/9/2020,GBP,POUND STERLING,29588.34,29887.21,30213.58
2/9/2020,JPY,YEN,204.25,206.31,213.58
2/9/2020,AUD,AUSTRALIAN DOLLAR,15286.5,15440.91,15766.41
2/9/2020,SGD,SINGAPORE DOLLAR,16493.93,16660.54,16876.2
2/9/2020,THB,THAILAND BAHT,656.23,729.14,762.61
2/9/2020,CAD,CANADIAN DOLLAR,17129.67,17302.7,17667.46
2/9/2020,CHF,SWISS FRANC,23360.56,23596.53,24093.96
2/9/2020,HKD,HONGKONG DOLLAR,2940.58,2970.28,3014.75
2/9/2020,CNY,YUAN RENMINBI,3260.21,3293.14,3362.57
2/9/2020,DKK,DANISH KRONE,-,3352.65,3478.55
2/9/2020,INR,INDIAN RUPEE,-,325.37,338.13
2/9/2020,KRW,KOREAN WON,17.87,18.81,20.61
